JobTitles,JobSkills,CompanyNames,LocationNames
QA Automation Engineer,"Software Testing,Unit Testing,Information Technology (IT),UI Testing",GIG Tech,"Cairo, Egypt"
Software Quality Control Engineer,"Automation,Computer Science,QC,QA,Testing,Quality Assurance,Quality Control",Kashier Payment Solutions,"Zamalek, Cairo, Egypt"
System Administrator,"Database,Information Technology (IT),System Administration,Linux,MySQL,Unix/Linux,Unix,Vmware",AK IT Consulting,"Cairo, Egypt"
UI Web Developer,"Computer Science,CSS,CSS3,Design,HTML,HTML5,Information Technology (IT),JavaScript",Open Source,"6th of October, Giza, Egypt"
Full Stack Web Developer,"Angular,Java,MySQL,MongoDB,Full Stack Development,Computer Science,CSS,HTML",Jump,"Cairo, Egypt"
DevOpsProdOPS Engineer,"Computer Science,Computer Engineering,Information Technology (IT),DevOps,ProdOPS,Gradle,Git,Openshift",Cegedim,"New Cairo, Cairo, Egypt"
CAD Staff Engineer,"CAD,Design,Electronics,Engineering,Linux,Software,Software Engineering,AutoCAD",SiVision,"Sheraton, Cairo, Egypt"
PHP Technical Lead,"Angular,Computer Engineering,Computer Science,Engineering,HTML,Information Technology (IT),JavaScript,PHP",LINK Development,"Maadi, Cairo, Egypt"
Functional Consultant,"Oracle netsuite,ERP Implementation,ERP Solutions,Oracle netsuite Functional consultant,Fluent English,Accounting,ERP,Finance",AK IT Consulting,"Nasr City, Cairo, Egypt"
software Solution Architect,"Software Development,Software,Architect,Solution Architect,Java,CD",SSC Egypt,"Cairo, Egypt"
Java Developer - Zoho Experience is a plus,"developer,Information Technology (IT),Java Developer,Software Development,Java,Programming",Confidential,"Dokki, Giza, Egypt"
Junior Odoo Developer ( Accounting Expert),"Git,Software Development,Software Engineering,Programming,Information Technology (IT),jQuery,Odoo,PostgreSQL,HTML",Minds solutions,"Maadi, Cairo, Egypt"
Junior Odoo Developer ( EGY electronic invoice Expert الفاتورة الالكترونية ),"Git,Software Development,Software Engineering,Programming,Information Technology (IT),jQuery,Odoo,PostgreSQL,HTML",Minds solutions,"Maadi, Cairo, Egypt"
Staff Data Scientist,"Computer Science,Information Technology (IT),Machine Learning,Software Development,Software Engineering,Data,data scientist",Nana,"Sheraton, Cairo, Egypt"
Cloud Engineer | Tech Lead,"Cloud,Computer Engineering,Computer Science,Engineering,Google cloud,Information Technology (IT),Linux,Software",Confidential,"Dokki, Giza, Egypt"
Data Engineer,"Cloud,AWS,Computer Engineering,Data,Scala,Information Technology (IT),Computer Science",Paymob Solutions,"Maadi, Cairo, Egypt"
Coding Content Developer,"Computer Science,Software Engineering,Coding,Ed-tech,Steam,Stem,STEAM",iSchool,"Nasr City, Cairo, Egypt"
Computer ScienceCoach,"Computer Science,Software Engineering,Coding,Ed-tech,Steam,Stem,STEAM",iSchool,"New Cairo, Cairo, Egypt"
Computer Science Coach - Part Time,"Computer Science,Software Engineering,Coding,Ed-tech,Steam,Stem,STEAM",iSchool,"New Cairo, Cairo, Egypt"
Pricing Analyst,"Analysis,Communication,Communication skills,Data Analysis,excel,Finance,Microsoft Excel",3Brothers,"Cairo, Egypt"
Back End Developer,"backend,Docker,MySQL,JavaScript,PHP,Software Development,jQuery,HTML",Bavaya,"Dokki, Giza, Egypt"
Senior Full Stack Developer,"Computer Science,Angular,Java,MongoDB,MySQL,PHP,Software Development,jQuery",ZORD,"Riyadh, Saudi Arabia"
Cyber Security Digital Forensics & Incident Response Consultant,"Cybersecurity,Incident Investigation,GCFA,GREM,GNFA,MCFE,Cryptography,Engineering",Confidential,"Cairo, Egypt"
Senior Software Quality Engineer,"Java,Selenium,Postman,Agile,Computer Science,Engineering,Git",Unifonic,"Cairo, Egypt"
Full-Stack Web Developer,"Software,Information Technology (IT),Software Development,Computer Science,Back-End,Front-End,javaScript,MySQL",GetSircles Digital Agency,"New Cairo, Cairo, Egypt"
